pile_id,road_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
148611,1268,24.960409,121.300503,1,1,0,98,3,
148612,1268,24.960383,121.300699,1,1,20,98,3,
148613,1268,24.960358,121.300895,1,1,40,98,3,
148614,1268,24.960319,121.301086,1,1,60,117,3,
148615,1268,24.960238,121.301263,1,1,80,117,3,
148616,1268,24.960157,121.30144,1,1,100,117,3,
148617,1268,24.960436,121.300514,2,1,0,278,3,
148618,1268,24.960411,121.30071,2,1,20,278,3,
148619,1268,24.960385,121.300906,2,1,40,278,3,
148620,1268,24.960347,121.301097,2,1,60,297,3,
148621,1268,24.960266,121.301274,2,1,80,297,3,
148622,1268,24.960185,121.301451,2,1,100,297,3,
148623,1269,24.957571,121.305147,1,1,0,345,3,
148624,1269,24.957745,121.305096,1,1,20,345,3,
148625,1269,24.957919,121.305044,1,1,40,345,3,
148626,1269,24.958094,121.304993,1,1,60,345,3,
148627,1269,24.958268,121.304942,1,1,80,345,3,
148628,1269,24.958443,121.304891,1,1,100,345,3,
148629,1269,24.958618,121.304842,1,1,120,345,3,
148630,1269,24.958792,121.304792,1,1,140,345,3,
148631,1269,24.958967,121.304743,1,1,160,345,3,
148632,1269,24.959142,121.304693,1,1,180,345,3,
148633,1269,24.959316,121.304638,1,1,200,344,3,
148634,1269,24.959489,121.304583,1,1,220,344,3,
148635,1269,24.959662,121.304528,1,1,240,344,3,
148636,1269,24.959836,121.304472,1,1,260,344,3,
148637,1269,24.960009,121.304417,1,1,280,344,3,
148638,1269,24.960181,121.304357,1,1,300,340,3,
148639,1269,24.957583,121.305085,2,1,0,165,3,
148640,1269,24.957757,121.305034,2,1,20,165,3,
148641,1269,24.957932,121.304983,2,1,40,165,3,
148642,1269,24.958106,121.304932,2,1,60,165,3,
148643,1269,24.958281,121.304882,2,1,80,165,3,
148644,1269,24.958455,121.304832,2,1,100,165,3,
148645,1269,24.95863,121.304782,2,1,120,165,3,
148646,1269,24.958805,121.304733,2,1,140,165,3,
148647,1269,24.95898,121.304683,2,1,160,165,3,
148648,1269,24.959155,121.304633,2,1,180,164,3,
148649,1269,24.959328,121.304578,2,1,200,164,3,
148650,1269,24.959501,121.304522,2,1,220,164,3,
148651,1269,24.959675,121.304467,2,1,240,164,3,
148652,1269,24.959848,121.304412,2,1,260,164,3,
148653,1269,24.960022,121.304356,2,1,280,164,3,
148654,1269,24.960193,121.304294,2,1,300,160,3,
149029,1270,24.928383,121.285646,1,1,0,69,3,
149030,1270,24.92841,121.28584,1,1,20,86,3,
149031,1270,24.928407,121.286038,1,1,40,91,3,
149032,1270,24.928405,121.286236,1,1,60,87,3,
149033,1270,24.928414,121.286434,1,1,80,87,3,
149034,1270,24.92843,121.286631,1,1,100,84,3,
149035,1270,24.928449,121.286828,1,1,120,84,3,
149036,1270,24.928469,121.287025,1,1,140,84,3,
149037,1270,24.928491,121.287221,1,1,160,83,3,
149038,1270,24.928513,121.287418,1,1,180,83,3,
149039,1270,24.928528,121.287615,1,1,200,87,3,
149040,1270,24.928539,121.287813,1,1,220,87,3,
