pile_id,road_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
148611,1268,24.960409,121.300503,1,1,0,98,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000013, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T3"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1602550000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 1, ""\u7ba1\u5f91\u5bec\u5ea6"": 1.5, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.0, ""\u6db5\u7ba1\u689d\u6578"": 1, ""\u7ba1\u7dda\u6750\u6599"": ""PVC"", ""\u7ba1\u7dda\u9577\u5ea6"": 11.76, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 0, ""\u5099\u8a3b"": NaN, ""OBJECTID"": 546297, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.8, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.27, ""\u524d\u4e00\u6b21Status_XY"": 2, ""QualityLV_Old"": 1, ""QualityLV"": 1}"
148612,1268,24.960383,121.300699,1,1,20,98,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000049, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T3"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1635720000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 1, ""\u7ba1\u5f91\u5bec\u5ea6"": 1.5, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.0, ""\u6db5\u7ba1\u689d\u6578"": 1, ""\u7ba1\u7dda\u6750\u6599"": ""PVC"", ""\u7ba1\u7dda\u9577\u5ea6"": 17.0, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546333, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148613,1268,24.960358,121.300895,1,1,40,98,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000118, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T3"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1565570000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.089, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.0, ""\u6db5\u7ba1\u689d\u6578"": 1, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 24.3, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546402, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.8, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.8, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148614,1268,24.960319,121.301086,1,1,60,117,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000119, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T3"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1565570000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.06, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.0, ""\u6db5\u7ba1\u689d\u6578"": 1, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 9.3, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546403, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.57, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.4, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148615,1268,24.960238,121.301263,1,1,80,117,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000125, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T3"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1565570000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.12, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.06, ""\u6db5\u7ba1\u689d\u6578"": 2, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 26.7, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546409, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 1}"
148616,1268,24.960157,121.30144,1,1,100,117,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000192, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T3"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1616460000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 1, ""\u7ba1\u5f91\u5bec\u5ea6"": 6.0, ""\u7ba1\u5f91\u9ad8\u5ea6"": 3.0, ""\u6db5\u7ba1\u689d\u6578"": 2, ""\u7ba1\u7dda\u6750\u6599"": ""PVC"", ""\u7ba1\u7dda\u9577\u5ea6"": 25.4, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546476, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148617,1268,24.960436,121.300514,2,1,0,278,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000200, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T2"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1262300000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.12, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.06, ""\u6db5\u7ba1\u689d\u6578"": 2, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 10.5, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546484, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148618,1268,24.960411,121.30071,2,1,20,278,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000205, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T2"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1262300000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.178, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.086, ""\u6db5\u7ba1\u689d\u6578"": 2, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 22.4, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546489, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.7, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.7, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148619,1268,24.960385,121.300906,2,1,40,278,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000224, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T2"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1262300000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.12, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.06, ""\u6db5\u7ba1\u689d\u6578"": 2, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 82.4, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546508, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.7, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.7, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
148620,1268,24.960347,121.301097,2,1,60,297,3,"{""\u985e\u5225\u78bc"": 801010103, ""\u8b58\u5225\u78bc"": 801010103000229, ""\u8d77\u9ede\u7de8\u865f"": "" "", ""\u7d42\u9ede\u7de8\u865f"": "" "", ""\u7ba1\u7406\u55ae\u4f4d"": ""T2"", ""\u4f5c\u696d\u5340\u5206"": 1, ""\u8a2d\u7f6e\u65e5\u671f"": 1262300000000.0, ""\u7ba1\u7dda\u7de8\u865f"": "" "", ""\u5c3a\u5bf8\u55ae\u4f4d"": 3, ""\u7ba1\u5f91\u5bec\u5ea6"": 0.12, ""\u7ba1\u5f91\u9ad8\u5ea6"": 0.06, ""\u6db5\u7ba1\u689d\u6578"": 2, ""\u7ba1\u7dda\u6750\u6599"": ""PH"", ""\u7ba1\u7dda\u9577\u5ea6"": 2.0, ""\u7ba1\u7dda\u578b\u614b"": 0, ""\u4f7f\u7528\u72c0\u614b"": 0, ""\u8cc7\u6599\u72c0\u614b"": 1, ""\u5099\u8a3b"": "" "", ""OBJECTID"": 546513, ""\u8d77\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u7d42\u9ede\u57cb\u8a2d\u6df1\u5ea6"": 0.5, ""\u524d\u4e00\u6b21Status_XY"": 1, ""QualityLV_Old"": 3, ""QualityLV"": 3}"
