road_id,city_id,dist_id,road_city,road_dist,road_name,road_level,pile_data,pile_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
1270,2,38,桃園市,八德區,豐田三路,RD,,149029,24.928383,121.285646,1,1,0,69,3,"{""ID"": 11025, ""\u7533\u8acb\u65e5\u671f"": 1733440000000.0, ""\u7533\u8acb\u79df\u501f\u4e8b\u7531"": ""\u5176\u4ed6:113\u5e74\u81d8\u51ac\u71c8\u7c60-\u9664\u591c \u521d\u8a63\u6d3b\u52d5"", ""\u79df\u501f\u8d77\u59cb\u65e5"": 1735690000000.0, ""\u79df\u501f\u7d50\u675f\u65e5"": 1735690000000.0, ""\u501f\u7528\u6642\u6bb5"": ""8\u66420\u5206\u81f322\u66420\u5206"", ""\u501f\u7528\u8def\u6bb5"": ""\u6843\u5712\u5340\u6210\u529f\u8def\u4e09\u6bb5\u81f3\u6843\u5712\u5340\u6210\u529f\u8def\u4e09\u6bb5"", ""\u6848\u4ef6\u72c0\u614b"": ""\u5df2\u6838\u5b9a(\u540c\u610f)"", ""SymStatus"": 0}"
1270,2,38,桃園市,八德區,豐田三路,RD,,149030,24.92841,121.28584,1,1,20,86,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149031,24.928407,121.286038,1,1,40,91,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149032,24.928405,121.286236,1,1,60,87,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149033,24.928414,121.286434,1,1,80,87,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149034,24.92843,121.286631,1,1,100,84,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149035,24.928449,121.286828,1,1,120,84,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149036,24.928469,121.287025,1,1,140,84,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149037,24.928491,121.287221,1,1,160,83,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149038,24.928513,121.287418,1,1,180,83,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149039,24.928528,121.287615,1,1,200,87,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149040,24.928539,121.287813,1,1,220,87,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149041,24.928549,121.28801,1,1,240,87,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149042,24.928559,121.288208,1,1,260,87,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149043,24.92857,121.288406,1,1,280,86,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149044,24.928581,121.288603,1,1,300,86,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149045,24.928592,121.288801,1,1,320,86,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149046,24.928603,121.288999,1,1,340,86,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149047,24.928614,121.289196,1,1,360,88,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149048,24.928621,121.289394,1,1,380,88,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149049,24.928628,121.289592,1,1,400,88,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149050,24.928412,121.285637,2,1,0,247,3,"{""ID"": 11025, ""\u7533\u8acb\u65e5\u671f"": 1733440000000.0, ""\u7533\u8acb\u79df\u501f\u4e8b\u7531"": ""\u5176\u4ed6:113\u5e74\u81d8\u51ac\u71c8\u7c60-\u9664\u591c \u521d\u8a63\u6d3b\u52d5"", ""\u79df\u501f\u8d77\u59cb\u65e5"": 1735690000000.0, ""\u79df\u501f\u7d50\u675f\u65e5"": 1735690000000.0, ""\u501f\u7528\u6642\u6bb5"": ""8\u66420\u5206\u81f322\u66420\u5206"", ""\u501f\u7528\u8def\u6bb5"": ""\u6843\u5712\u5340\u6210\u529f\u8def\u4e09\u6bb5\u81f3\u6843\u5712\u5340\u6210\u529f\u8def\u4e09\u6bb5"", ""\u6848\u4ef6\u72c0\u614b"": ""\u5df2\u6838\u5b9a(\u540c\u610f)"", ""SymStatus"": 0}"
1270,2,38,桃園市,八德區,豐田三路,RD,,149051,24.928442,121.285831,2,1,20,266,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149052,24.92844,121.286028,2,1,40,271,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149053,24.928438,121.286226,2,1,60,267,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149054,24.928446,121.286424,2,1,80,267,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149055,24.928462,121.286621,2,1,100,264,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149056,24.928482,121.286818,2,1,120,264,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149057,24.928501,121.287015,2,1,140,264,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149058,24.928523,121.287212,2,1,160,263,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149059,24.928545,121.287408,2,1,180,263,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149060,24.928561,121.287605,2,1,200,267,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149061,24.928571,121.287803,2,1,220,267,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149062,24.928581,121.288001,2,1,240,267,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149063,24.928591,121.288199,2,1,260,267,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149064,24.928602,121.288396,2,1,280,266,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149065,24.928613,121.288594,2,1,300,266,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149066,24.928625,121.288791,2,1,320,266,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149067,24.928636,121.288989,2,1,340,266,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149068,24.928647,121.289187,2,1,360,268,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149069,24.928654,121.289385,2,1,380,268,3,
1270,2,38,桃園市,八德區,豐田三路,RD,,149070,24.928661,121.289583,2,1,400,268,3,
