類別碼,識別碼,起點編號,終點編號,管理單位,作業區分,設置日期,管線編號,尺寸單位,管徑寬度,管徑高度,涵管條數,管線材料,管線長度,管線型態,使用狀態,資料狀態,備註,OBJECTID,起點埋設深度,終點埋設深度,前一次Status_XY,QualityLV_Old,QualityLV
801010103,801010103000013, , ,T3,1,1.60255E+12, ,1,1.5,0,1,PVC,11.76,0,0,0,,546297,0.8,0.27,2,1,1
801010103,801010103000049, , ,T3,1,1.63572E+12, ,1,1.5,0,1,PVC,17,0,0,1, ,546333,0.5,0.5,1,3,3
801010103,801010103000118, , ,T3,1,1.56557E+12, ,3,0.089,0,1,PH,24.3,0,0,1, ,546402,0.8,0.8,1,3,3
801010103,801010103000119, , ,T3,1,1.56557E+12, ,3,0.06,0,1,PH,9.3,0,0,1, ,546403,0.57,0.4,1,3,3
801010103,801010103000125, , ,T3,1,1.56557E+12, ,3,0.12,0.06,2,PH,26.7,0,0,1, ,546409,0.5,0.5,1,3,1
801010103,801010103000192, , ,T3,1,1.61646E+12, ,1,6,3,2,PVC,25.4,0,0,1, ,546476,0.5,0.5,1,3,3
801010103,801010103000200, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,10.5,0,0,1, ,546484,0.5,0.5,1,3,3
801010103,801010103000205, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,22.4,0,0,1, ,546489,0.7,0.7,1,3,3
801010103,801010103000224, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,82.4,0,0,1, ,546508,0.7,0.7,1,3,3
801010103,801010103000229, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,2,0,0,1, ,546513,0.5,0.5,1,3,3
801010103,801010103000275, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,31,0,0,1, ,546559,0.7,0.7,1,3,3
801010103,801010103000285, , ,T2,1,1.62484E+12, NL1064370,1,4,2,2,PVC,18.7,0,0,0, ,546569,0.4,0.33,2,1,1
801010103,801010103000330, , ,T2,1,1.2623E+12, ,1,3,0,1,PVC,22.3,0,0,1, ,546614,0.7,0.7,1,3,3
801010103,801010103000337, , 02P02,T2,1,1.56635E+12, ,1,4,2,2,PVC,4.27,0,0,1, ,546621,0.5,0.1,1,3,3
801010103,801010103000352, , ,T2,1,1.56747E+12, ,1,1.5,0,1,PVC,1.21,0,0,0, ,546636,0.24,0.29,2,1,1
801010103,801010103000371,,,T2,1,1.2623E+12,1341136-既有管線1,3,0.12,0.06,2,PH,23.2,0,0,1,,546655,0.4,0.7,1,4,3
801010103,801010103000377,,,T2,1,1.2623E+12,AC11300130-既有管線2,3,0.12,0.06,2,PH,29.2,0,0,1,,546661,0.7,0.7,1,4,3
801010103,801010103000434, , ,T2,1,1.63339E+12, ,1,1.5,0,1,PVC,25.1,0,0,0, ,546718,0.21,0.23,2,1,1
801010103,801010103000445, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,21.5,0,0,1, ,546729,0.8,0.8,1,3,3
801010103,801010103000458, , ,T3,1,1.62855E+12, ,1,1.5,0,1,PVC,35.6,0,0,1, ,546742,0.8,0.8,1,3,3
801010103,801010103000474, , ,T2,1,1.2623E+12, NL1141386,3,0.178,0.178,4,PH,27.1,0,0,1, ,546758,0.7,0.7,1,4,3
801010103,801010103000497,,,T2,1,1.2623E+12,AC11300130-既有管線3,3,0.12,0.06,2,PH,16.4,0,0,1,,546781,0.7,0.7,1,4,3
