ID,申請日期,申請租借事由,租借起始日,租借結束日,借用時段,借用路段,案件狀態,SymStatus
10736,2024/11/15,活動,2024/12/27,2024/12/28,8時0分至22時0分,桃園區成功路三段至桃園區成功路三段,已核定(同意),1
10736,2024/11/15,活動,2024/12/27,2024/12/28,8時0分至22時0分,桃園區成功路三段至桃園區成功路三段,已核定(同意),1
11025,2024/12/05,其他:113年臘冬燈籠-除夜 初詣活動,2025/01/01,2025/01/01,8時0分至22時0分,桃園區成功路三段至桃園區成功路三段,已核定(同意),0
11025,2024/12/05,其他:113年臘冬燈籠-除夜 初詣活動,2025/01/01,2025/01/01,8時0分至22時0分,桃園區成功路三段至桃園區成功路三段,已核定(同意),0
11025,2024/12/05,其他:113年臘冬燈籠-除夜 初詣活動,2025/01/01,2025/01/01,8時0分至22時0分,桃園區成功路三段至桃園區成功路三段,已核定(同意),0
11025,2024/12/05,其他:113年臘冬燈籠-除夜 初詣活動,2025/01/01,2025/01/01,8時0分至22時0分,桃園區成功路三段至桃園區成功路三段,已核定(同意),0
11081,2024/12/11,其他:廟會遶境活動,2024/12/27,2024/12/27,16時0分至22時0分,八德區金和路至八德區國際路一段401巷123號,已核定(同意),1
11087,2024/12/11,其他:2024越南音樂文化節活動-開放停車,2024/12/28,2024/12/28,8時0分至18時0分,桃園區三民路一段至桃園區成功路二段,已核定(同意),1
11095,2024/12/11,其他:跨年元旦升旗活動,2025/01/01,2025/01/01,0時5分至1時0分,中壢區環中東路、榮民路及興仁路一段至中壢區環中東路、榮民路及興仁路一段,已核定(同意),0
11162,2024/12/08,其他:喪禮,2024/12/25,2024/12/25,6時0分至14時0分,中壢區中正路780號至中壢區中正路1044號、中壢區三光路至中壢區中央西路二段、中壢區志廣路至中壢區志廣路、平鎮區中豐路至平鎮區快速路二段,已核定(同意),1
11162,2024/12/08,其他:喪禮,2024/12/25,2024/12/25,6時0分至14時0分,中壢區中正路780號至中壢區中正路1044號、中壢區三光路至中壢區中央西路二段、中壢區志廣路至中壢區志廣路、平鎮區中豐路至平鎮區快速路二段,已核定(同意),1
11162,2024/12/08,其他:喪禮,2024/12/25,2024/12/25,6時0分至14時0分,中壢區中正路780號至中壢區中正路1044號、中壢區三光路至中壢區中央西路二段、中壢區志廣路至中壢區志廣路、平鎮區中豐路至平鎮區快速路二段,已核定(同意),1
